ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
209,501237,2,10,29/04/11,4,1,10,1,1,26,1,2,8
210,501238,9,6,30/04/11,4,23,6,2,1,38,1,6,41
211,501239,1,4,30/04/11,4,5,1,1,2,8,1,1,140
212,501240,5,10,01/05/11,4,6,5,1,2,6,1,5,52
213,501241,3,8,01/05/11,4,8,3,2,1,19,1,3,109
214,501242,7,4,02/05/11,4,4,4,1,1,23,1,7,221
215,501243,6,9,02/05/11,4,3,9,1,2,7,1,9,294
216,501244,8,1,03/05/11,4,7,8,1,1,20,1,1,31
217,501245,3,5,04/05/11,4,8,5,2,2,8,1,3,19
218,501246,10,7,04/05/11,4,9,10,1,1,21,1,7,235
219,501247,9,1,05/05/11,4,23,1,1,1,17,1,9,104
220,501248,8,6,05/05/11,4,7,6,1,2,4,1,6,41
221,501249,2,4,06/05/11,4,1,4,1,1,85,1,2,162
222,501250,1,3,07/05/11,4,5,3,2,1,10,1,1,140
223,501251,7,6,07/05/11,4,4,6,1,1,32,1,7,208
224,501252,2,9,08/05/11,4,1,9,2,2,9,1,2,162
225,501253,4,10,08/05/11,4,2,4,2,2,5,1,10,235
226,501254,5,3,09/05/11,4,6,5,1,1,63,1,3,185
227,501255,8,10,10/05/11,4,7,8,2,2,6,1,10,253
228,501256,4,7,10/05/11,4,2,7,1,1,76,1,4,302
229,501257,5,2,11/05/11,4,6,2,1,2,9,1,2,270
230,501258,3,6,12/05/11,4,8,3,2,1,18,1,3,20
231,501259,9,4,13/05/11,4,24,4,1,2,6,1,4,88
232,501260,2,1,14/05/11,4,1,2,1,2,4,1,2,162
233,501261,7,8,14/05/11,4,4,8,2,1,10,1,8,136
234,501262,4,6,15/05/11,4,22,6,1,1,29,1,4,67
235,501263,9,5,15/05/11,4,24,9,1,2,8,1,9,104
236,501264,10,8,16/05/11,4,9,8,1,2,6,1,8,136
237,501265,4,2,17/05/11,4,22,4,2,1,111,1,4,53
238,501266,3,9,18/05/11,4,8,3,2,1,11,1,3,62
239,501267,10,1,19/05/11,4,9,1,1,2,7,1,1,31
240,501268,7,5,20/05/11,4,4,7,2,2,10,1,5,32
241,501269,4,8,21/05/11,4,22,4,1,1,82,1,8,42
242,501270,6,10,21/05/11,4,3,6,2,3,,2,,
243,501271,2,3,22/05/11,4,1,2,1,2,8,1,2,162
244,501272,1,7,22/05/11,4,5,7,1,2,5,1,7,275
245,501273,2,3,24/05/11,4,4,3,1,2,6,1,3,21
246,501274,7,1,25/05/11,4,4,7,1,2,4,1,7,126
247,501275,2,7,27/05/11,4,8,7,1,1,43,1,2,162
